distance_from_peak_center_bp	distance_from_peak_center_mb	methylation_H3K27ac_peaks	support_H3K27ac_peaks	bootstrap_mean	bootstrap_std
-482200	-0.4822	0.6227023270510526	23	0.7000239538381068	0.08701753057314668
-482100	-0.4821	0.7678210060615036	30	0.7052421235452266	0.09115526791719528
-482000	-0.482	0.7803570662551796	29	0.681451664777694	0.10670811743243346
-481900	-0.4819	0.6567195494666561	30	0.6941520484047246	0.10741297269192703
-481800	-0.4818	0.7178467871919454	30	0.6668801226398788	0.06363244188333979
-481700	-0.4817	0.74572296959349	33	0.7360432167371882	0.05281976624514199
-481600	-0.4816	0.7343687889153464	29	0.7353480530845451	0.06765282829725254
-481500	-0.4815	0.6856203852250586	32	0.6827062883269888	0.0855953192871645
-481400	-0.4814	0.7587135459008847	38	0.675809622156581	0.064382607291485
-481300	-0.4813	0.7326389153475098	33	0.6704249243557593	0.04886152391725492
-481200	-0.4812	0.7737789831724654	35	0.7035283103390778	0.05908855346525302
-481100	-0.4811	0.7521611706203897	27	0.7155968568007803	0.1069096087426814
-481000	-0.481	0.7688138541433528	32	0.679199308445042	0.06972797417213986
-480900	-0.4809	0.7063857634179642	30	0.6793838928633784	0.04494150886936128
-480800	-0.4808	0.7294578386832868	30	0.664863505549572	0.09653923422924747
-480700	-0.4807	0.784171193228539	29	0.711691599279755	0.06846522170499486
-480600	-0.4806	0.8033944619282161	32	0.6813877177828879	0.052962114467791734
-480500	-0.4805	0.6968792201658475	28	0.7085775636408037	0.09012876259435632
-480400	-0.4804	0.7891916538112826	32	0.708156583985357	0.045274653861046815
-480300	-0.4803	0.8336884842382212	27	0.6854664759420027	0.05261183838463877
-480200	-0.4802	0.7645025344416232	35	0.7384411913069243	0.053598237501618184
-480100	-0.4801	0.7601103587075161	31	0.6882668087965464	0.05690126580892731
-480000	-0.48	0.8452880248300532	32	0.7128164450366093	0.0920531664753136
-479900	-0.4799	0.829240054101793	34	0.7181679941296292	0.0735897902797496
-479800	-0.4798	0.7841558755860367	35	0.6617643408599719	0.05754335969305078
-479700	-0.4797	0.8099832080297568	34	0.6616362291329756	0.07474379464062798
-479600	-0.4796	0.8292233604549453	27	0.6944983458747618	0.06301685908227028
-479500	-0.4795	0.845696049746161	28	0.6417676719682212	0.09341507164261957
-479400	-0.4794	0.7891197955660716	32	0.7144497435022481	0.11489342924853066
